,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,time
77,136.06060606060606,215.43333333333334,213.80769230769232,770.8837209302326,1014.6153846153846,859.2222222222222,767.1290322580645,137.80769230769232,362.8863636363636,444.3421052631579,641.7727272727273,804.3461538461538,361.46666666666664,2.4052233333333333
78,150.36363636363637,241.13333333333333,189.03846153846155,774.3720930232558,1040.5576923076924,829.6388888888889,731.3225806451613,144.07692307692307,364.22727272727275,462.3421052631579,673.4772727272727,744.3461538461538,369.6333333333333,2.43646
79,146.5151515151515,231.46666666666667,223.69230769230768,773.7906976744187,1074.4038461538462,820.3888888888889,744.8709677419355,148.3846153846154,364.25,470.7631578947368,650.2727272727273,884.3076923076923,344.3,2.4676966666666664
80,131.72727272727272,213.63333333333333,217.03846153846155,782.4883720930233,1029.1538461538462,834.1388888888889,720.7096774193549,144.1153846153846,364.5,471.0263157894737,611.3636363636364,830.2307692307693,391.3666666666667,2.4989333333333335
81,156.45454545454547,214.86666666666667,227.53846153846155,768.4651162790698,1046.5961538461538,827.3055555555555,714.7096774193549,147.80769230769232,363.3636363636364,453.2368421052632,631.25,747.1538461538462,414.9,2.53017
82,149.03030303030303,228.13333333333333,210.07692307692307,752.9302325581396,1021.8461538461538,841.8055555555555,696.9677419354839,140.8846153846154,339.77272727272725,423.2368421052632,629.0,787.7692307692307,384.56666666666666,2.5614066666666666
83,141.66666666666666,232.1,220.23076923076923,724.3953488372093,1061.076923076923,846.6666666666666,733.8387096774194,142.42307692307693,362.77272727272725,466.0263157894737,650.0227272727273,861.6538461538462,391.9,2.592643333333333
84,145.4848484848485,235.0,201.69230769230768,784.8604651162791,1019.4423076923077,830.0,737.2258064516129,149.3846153846154,346.95454545454544,486.5,624.0909090909091,823.5384615384615,431.3,2.6238799999999998
85,139.54545454545453,217.83333333333334,194.42307692307693,745.6511627906976,1002.7884615384615,933.0833333333334,782.3870967741935,160.30769230769232,372.5,491.2105263157895,637.25,835.4615384615385,385.46666666666664,2.655116666666667
86,153.54545454545453,229.96666666666667,204.19230769230768,788.1860465116279,978.5192307692307,920.2777777777778,717.6774193548387,142.65384615384616,359.8636363636364,448.5263157894737,621.9772727272727,822.5,391.96666666666664,2.6863533333333334
87,152.27272727272728,234.1,206.6153846153846,751.5581395348837,1042.3076923076924,941.4166666666666,754.8709677419355,154.15384615384616,364.97727272727275,454.7105263157895,622.5454545454545,860.0769230769231,407.3666666666667,2.71759
88,158.72727272727272,249.86666666666667,208.0,761.7209302325581,1053.7692307692307,884.4722222222222,774.8064516129032,140.1153846153846,395.84090909090907,471.7105263157895,648.8863636363636,881.5769230769231,420.8666666666667,2.7488266666666665
89,141.84848484848484,244.4,208.42307692307693,759.7906976744187,1088.7115384615386,907.2222222222222,790.8709677419355,155.15384615384616,372.52272727272725,453.89473684210526,644.9318181818181,898.4615384615385,427.43333333333334,2.780063333333333
90,143.72727272727272,228.06666666666666,228.26923076923077,754.7906976744187,1082.8653846153845,924.6944444444445,772.9354838709677,165.15384615384616,394.40909090909093,477.2631578947368,670.5454545454545,779.8076923076923,409.7,2.8113
91,140.66666666666666,218.93333333333334,231.69230769230768,770.2093023255813,1066.2115384615386,860.75,774.1290322580645,157.26923076923077,372.25,472.6842105263158,647.2045454545455,827.9230769230769,411.1,2.8425366666666667
92,143.15151515151516,228.06666666666666,228.6153846153846,759.8372093023256,1040.3846153846155,916.9166666666666,769.741935483871,157.34615384615384,356.6363636363636,485.2368421052632,672.9090909090909,828.0,427.5,2.8737733333333333
93,149.27272727272728,230.9,227.80769230769232,755.4418604651163,1056.923076923077,949.2777777777778,792.7741935483871,140.26923076923077,341.02272727272725,476.10526315789474,644.2954545454545,867.9615384615385,430.93333333333334,2.90501
94,149.63636363636363,233.0,204.34615384615384,821.7441860465116,1071.0,933.8888888888889,797.4516129032259,156.5,353.34090909090907,501.10526315789474,623.0681818181819,790.4615384615385,389.7,2.9362466666666664
95,142.27272727272728,224.26666666666668,212.53846153846155,748.0697674418604,1027.2884615384614,906.9444444444445,806.1935483870968,146.46153846153845,358.25,470.05263157894734,654.2727272727273,857.8076923076923,416.6666666666667,2.9674833333333335
96,152.93939393939394,254.43333333333334,226.46153846153845,772.5581395348837,1030.2884615384614,962.6944444444445,771.5483870967741,145.30769230769232,377.1363636363636,432.7631578947368,661.3181818181819,811.0,395.23333333333335,2.99872
97,135.3939393939394,216.76666666666668,216.15384615384616,783.1860465116279,1093.6153846153845,835.8611111111111,838.741935483871,142.30769230769232,360.5681818181818,510.5263157894737,713.8636363636364,790.1153846153846,454.2,3.0299566666666666
98,133.63636363636363,218.46666666666667,202.46153846153845,850.4418604651163,962.2692307692307,959.0,825.5483870967741,147.30769230769232,382.77272727272725,450.9736842105263,686.4090909090909,804.2692307692307,418.43333333333334,3.061193333333333
99,136.27272727272728,230.06666666666666,203.15384615384616,743.8139534883721,1054.076923076923,882.8333333333334,877.6129032258065,150.46153846153845,338.54545454545456,454.1842105263158,652.5,838.7692307692307,406.1666666666667,3.09243
100,142.96969696969697,207.2,209.30769230769232,795.1162790697674,1064.6153846153845,953.3888888888889,830.9032258064516,150.3846153846154,357.45454545454544,478.1578947368421,608.3409090909091,818.1923076923077,423.56666666666666,3.123666666666667
101,136.78787878787878,234.0,211.69230769230768,824.4186046511628,1069.673076923077,984.1388888888889,807.258064516129,150.80769230769232,372.77272727272725,490.89473684210526,644.4090909090909,759.2307692307693,403.5,3.1549033333333334
102,160.03030303030303,242.93333333333334,244.69230769230768,814.1860465116279,1023.3653846153846,943.7777777777778,874.2258064516129,150.65384615384616,348.47727272727275,472.7894736842105,655.7727272727273,874.1923076923077,416.1666666666667,3.18614
103,135.24242424242425,232.63333333333333,237.30769230769232,814.4186046511628,1072.6923076923076,909.8611111111111,851.0,138.3846153846154,347.6136363636364,473.3157894736842,634.0909090909091,861.5,411.43333333333334,3.2173766666666666
104,135.6060606060606,216.36666666666667,234.73076923076923,769.7209302325581,1087.0576923076924,945.6388888888889,799.1935483870968,153.96153846153845,394.6363636363636,463.6578947368421,646.3863636363636,797.7692307692307,384.43333333333334,3.248613333333333
105,145.93939393939394,238.83333333333334,188.76923076923077,805.6046511627907,1039.0576923076924,888.0,876.6774193548387,152.96153846153845,364.97727272727275,445.39473684210526,659.3636363636364,851.3076923076923,416.3666666666667,3.27985
106,142.15151515151516,236.13333333333333,195.23076923076923,802.953488372093,1037.8461538461538,902.0555555555555,812.2903225806451,152.30769230769232,369.3181818181818,465.36842105263156,641.6818181818181,849.5384615384615,399.8666666666667,3.3110866666666667
107,152.3939393939394,234.96666666666667,201.69230769230768,795.953488372093,1128.5576923076924,935.5,844.8387096774194,153.65384615384616,344.0681818181818,491.4736842105263,658.5227272727273,865.1153846153846,394.9,3.3423233333333333
108,148.93939393939394,205.63333333333333,236.46153846153845,752.6046511627907,1112.0,926.0,815.8064516129032,143.73076923076923,374.02272727272725,415.4736842105263,610.9090909090909,772.1153846153846,403.8666666666667,3.37356
