,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
97,271.6842105263158,427.1320754716981,775.2878787878788,787.3846153846154,175.02173913043478,412.7647058823529,380.92857142857144,365.8157894736842,535.1836734693877,3.0159401666666668
98,278.55263157894734,410.9433962264151,751.9848484848485,799.4807692307693,186.3695652173913,389.05882352941177,388.0238095238095,337.39473684210526,530.8163265306123,3.0470323333333336
99,266.60526315789474,434.2830188679245,762.439393939394,821.9038461538462,193.30434782608697,349.7647058823529,373.6190476190476,362.2894736842105,525.4081632653061,3.0781245
100,256.4736842105263,435.0188679245283,722.8636363636364,771.4230769230769,173.17391304347825,356.7352941176471,376.7142857142857,357.8421052631579,518.8979591836735,3.1092166666666667
101,265.2105263157895,397.92452830188677,694.6969696969697,820.9230769230769,173.65217391304347,370.5,371.0952380952381,369.60526315789474,533.1224489795918,3.1403088333333335
102,281.2368421052632,388.64150943396226,754.3636363636364,795.0576923076923,163.08695652173913,363.47058823529414,393.6904761904762,331.63157894736844,539.469387755102,3.171401
103,236.26315789473685,406.33962264150944,727.4848484848485,785.4615384615385,181.80434782608697,323.5,378.3095238095238,335.7631578947368,513.0816326530612,3.2024931666666667
104,222.78947368421052,410.45283018867923,741.6515151515151,850.3461538461538,176.6304347826087,268.8235294117647,377.0238095238095,342.39473684210526,519.1836734693877,3.2335853333333335
105,231.18421052631578,400.75471698113205,675.5909090909091,796.9230769230769,184.80434782608697,282.61764705882354,346.0952380952381,325.92105263157896,537.9387755102041,3.2646775
106,227.73684210526315,375.9056603773585,718.4242424242424,790.2115384615385,181.58695652173913,278.0882352941176,365.5,321.05263157894734,519.5102040816327,3.2957696666666667
107,221.73684210526315,391.9433962264151,656.6818181818181,770.7692307692307,178.2391304347826,252.94117647058823,335.92857142857144,342.7894736842105,523.469387755102,3.3268618333333335
108,203.68421052631578,378.64150943396226,676.8787878787879,809.1730769230769,211.1086956521739,230.23529411764707,352.8809523809524,343.2631578947368,548.1428571428571,3.357954
109,208.68421052631578,390.77358490566036,670.469696969697,765.5961538461538,225.65217391304347,268.7352941176471,351.73809523809524,308.6842105263158,566.6938775510204,3.3890461666666667
110,208.3421052631579,390.2641509433962,662.6666666666666,741.7884615384615,256.2826086956522,240.05882352941177,303.0952380952381,311.6842105263158,558.3469387755102,3.4201383333333335
111,204.52631578947367,352.45283018867923,624.0909090909091,728.6538461538462,288.6304347826087,209.1764705882353,308.73809523809524,284.1842105263158,538.5918367346939,3.4512305
112,196.26315789473685,317.9622641509434,670.2121212121212,792.4423076923077,284.7826086956522,234.52941176470588,288.54761904761904,343.05263157894734,520.9387755102041,3.4823226666666667
113,209.71052631578948,335.64150943396226,641.9848484848485,809.6538461538462,288.4782608695652,230.7941176470588,297.57142857142856,313.94736842105266,511.8979591836735,3.5134148333333335
114,186.02631578947367,323.64150943396226,633.0,786.4230769230769,316.0869565217391,205.88235294117646,274.04761904761904,309.8157894736842,510.9795918367347,3.544507
115,184.21052631578948,311.24528301886795,577.9545454545455,785.9423076923077,374.5652173913044,200.7058823529412,263.57142857142856,308.6578947368421,556.3469387755102,3.5755991666666667
116,179.94736842105263,307.60377358490564,612.2272727272727,764.7115384615385,383.45652173913044,215.7941176470588,270.5,269.39473684210526,515.6122448979592,3.6066913333333335
117,189.21052631578948,269.35849056603774,581.4848484848485,799.4807692307693,357.7173913043478,226.2941176470588,250.92857142857142,268.0263157894737,470.9591836734694,3.6377835000000003
118,181.76315789473685,309.35849056603774,541.3181818181819,770.8653846153846,450.80434782608694,207.08823529411765,253.78571428571428,255.71052631578948,557.3877551020408,3.6688756666666666
119,177.3684210526316,266.1320754716981,545.5151515151515,771.9230769230769,406.10869565217394,241.52941176470588,233.6904761904762,285.44736842105266,522.7142857142857,3.6999678333333335
120,213.26315789473685,267.79245283018867,514.3939393939394,780.1346153846154,473.0652173913044,260.4117647058824,228.88095238095238,260.42105263157896,517.0,3.7310600000000003
121,209.6315789473684,257.9811320754717,490.77272727272725,757.2884615384615,424.3478260869565,263.70588235294116,215.04761904761904,241.5,475.38775510204084,3.7621521666666666
122,231.0,229.49056603773585,474.75757575757575,735.0576923076923,483.0652173913044,314.94117647058823,202.42857142857142,266.7631578947368,474.2244897959184,3.7932443333333334
123,249.76315789473685,252.0188679245283,455.77272727272725,727.0961538461538,457.2391304347826,345.1764705882353,210.26190476190476,263.7368421052632,461.3265306122449,3.8243365000000002
124,277.5,230.56603773584905,466.1969696969697,672.75,480.32608695652175,367.61764705882354,216.0,224.07894736842104,453.2244897959184,3.8554286666666666
125,300.2368421052632,222.73584905660377,418.6969696969697,673.6538461538462,481.32608695652175,416.6470588235294,194.42857142857142,239.02631578947367,472.38775510204084,3.8865208333333334
126,315.1842105263158,219.22641509433961,408.0151515151515,644.9423076923077,471.45652173913044,406.6470588235294,213.66666666666666,239.73684210526315,443.0816326530612,3.9176130000000002
127,356.92105263157896,224.49056603773585,396.8939393939394,625.0,519.9782608695652,445.9117647058824,195.83333333333334,208.42105263157896,457.18367346938777,3.9487051666666666
128,341.4736842105263,236.33962264150944,370.45454545454544,624.8653846153846,500.69565217391306,489.88235294117646,198.07142857142858,211.1578947368421,420.3061224489796,3.9797973333333334
129,369.7368421052632,206.0566037735849,350.72727272727275,596.5192307692307,509.2391304347826,500.02941176470586,202.97619047619048,211.42105263157896,427.51020408163265,4.0108895
130,402.1842105263158,197.9433962264151,368.969696969697,599.6538461538462,519.4347826086956,529.7647058823529,212.23809523809524,213.3421052631579,410.46938775510205,4.041981666666667
131,450.89473684210526,202.33962264150944,352.09090909090907,583.25,508.7826086956522,523.2941176470588,197.4047619047619,198.8421052631579,390.18367346938777,4.073073833333334
132,427.5263157894737,220.71698113207546,328.6515151515151,547.1538461538462,514.4130434782609,604.8235294117648,188.88095238095238,216.28947368421052,378.8979591836735,4.104166
133,456.1578947368421,222.52830188679246,342.8787878787879,531.4038461538462,504.0,578.4117647058823,200.9047619047619,203.73684210526315,382.7551020408163,4.135258166666667
134,445.2368421052632,266.4339622641509,316.7878787878788,524.5192307692307,548.2173913043479,620.7352941176471,236.54761904761904,202.1315789473684,375.53061224489795,4.166350333333334
135,462.5,308.8867924528302,293.1515151515151,461.2692307692308,519.8695652173913,634.0882352941177,259.8809523809524,191.44736842105263,322.265306122449,4.1974425
136,442.10526315789474,305.1698113207547,299.6060606060606,462.9230769230769,503.1521739130435,616.6176470588235,259.26190476190476,171.78947368421052,344.1020408163265,4.2285346666666666
137,471.5,346.8867924528302,278.75757575757575,418.6923076923077,516.0,642.2058823529412,278.1190476190476,182.10526315789474,308.6734693877551,4.259626833333334
138,466.42105263157896,377.188679245283,282.40909090909093,417.36538461538464,521.2391304347826,628.0,293.95238095238096,185.6578947368421,283.57142857142856,4.290719
139,487.9736842105263,444.75471698113205,278.1212121212121,421.38461538461536,522.0217391304348,698.9705882352941,341.2142857142857,191.1315789473684,294.6734693877551,4.3218111666666665
140,493.7105263157895,422.47169811320754,274.54545454545456,372.38461538461536,517.0,673.6764705882352,360.2142857142857,188.39473684210526,288.48979591836735,4.352903333333334
141,484.7894736842105,470.62264150943395,282.1212121212121,369.46153846153845,506.4782608695652,684.0588235294117,354.7142857142857,178.39473684210526,286.7959183673469,4.3839955
142,489.6578947368421,476.41509433962267,261.93939393939394,335.96153846153845,548.1086956521739,682.3823529411765,399.6190476190476,166.68421052631578,247.46938775510205,4.4150876666666665
143,484.2894736842105,531.4150943396227,258.0151515151515,337.78846153846155,556.695652173913,635.2352941176471,418.9047619047619,167.57894736842104,251.10204081632654,4.446179833333334
144,468.9736842105263,537.377358490566,279.0,329.4230769230769,524.304347826087,703.2352941176471,405.57142857142856,162.28947368421052,268.57142857142856,4.477272
145,482.63157894736844,601.5094339622641,263.0151515151515,318.38461538461536,562.7608695652174,680.7352941176471,444.23809523809524,192.47368421052633,262.7142857142857,4.5083641666666665
146,483.6842105263158,579.3584905660377,280.1515151515151,325.34615384615387,529.0434782608696,704.0588235294117,435.07142857142856,189.81578947368422,234.57142857142858,4.539456333333334
147,489.6578947368421,548.6603773584906,295.22727272727275,314.13461538461536,529.5434782608696,677.1176470588235,427.57142857142856,204.42105263157896,243.44897959183675,4.5705485
148,475.3421052631579,587.0943396226415,315.6363636363636,306.65384615384613,490.69565217391306,731.6470588235294,478.2857142857143,208.52631578947367,219.6530612244898,4.6016406666666665
149,487.57894736842104,648.9811320754717,342.469696969697,295.59615384615387,529.6086956521739,725.5588235294117,444.57142857142856,253.42105263157896,243.0408163265306,4.632732833333334
150,503.2631578947368,637.5471698113207,372.1969696969697,300.4230769230769,503.5652173913044,677.8823529411765,499.5952380952381,239.3684210526316,226.57142857142858,4.663825
151,519.2368421052631,615.5283018867924,387.3939393939394,281.2307692307692,513.0869565217391,738.6764705882352,481.95238095238096,298.7368421052632,213.89795918367346,4.6949171666666665
152,481.86842105263156,667.622641509434,430.40909090909093,270.7307692307692,509.7173913043478,705.1176470588235,482.1666666666667,296.6842105263158,198.0408163265306,4.726009333333334
153,499.60526315789474,673.9433962264151,467.5,253.6153846153846,537.7173913043479,694.7058823529412,520.6190476190476,348.8157894736842,222.22448979591837,4.7571015
