,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
58,735.1521739130435,876.2432432432432,1348.125,1129.75,1346.787234042553,1651.8636363636363,365.1,781.4666666666667,677.5833333333334,963.741935483871,1174.9024390243903,1480.7735849056603,1.7971976666666667
59,725.5217391304348,917.6756756756756,1457.125,1168.7045454545455,1360.9148936170213,1562.6363636363637,336.93333333333334,818.0,629.8333333333334,904.483870967742,1132.219512195122,1454.3584905660377,1.8281838333333333
60,738.8695652173913,899.1621621621622,1384.392857142857,1177.4545454545455,1349.0212765957447,1649.0681818181818,385.0,857.8666666666667,658.6111111111111,961.258064516129,1143.5365853658536,1457.132075471698,1.85917
61,705.5652173913044,928.8918918918919,1488.375,1142.7045454545455,1303.5744680851064,1589.5,318.0,789.6666666666666,639.0,980.516129032258,1099.8292682926829,1456.5094339622642,1.8901561666666666
62,749.8260869565217,905.2162162162163,1337.4464285714287,1133.75,1254.7446808510638,1620.5227272727273,357.2,795.9666666666667,646.1388888888889,993.9032258064516,1155.2682926829268,1428.2264150943397,1.9211423333333333
63,748.4782608695652,885.0,1457.9642857142858,1117.1136363636363,1291.723404255319,1613.340909090909,332.03333333333336,839.3333333333334,666.6111111111111,966.0,1135.5365853658536,1437.188679245283,1.9521285
64,728.9565217391304,905.4324324324324,1362.8392857142858,1163.9772727272727,1338.9148936170213,1668.159090909091,349.1333333333333,778.9666666666667,625.2222222222222,923.0967741935484,1141.878048780488,1374.5471698113208,1.9831146666666666
65,779.7826086956521,955.4054054054054,1454.9642857142858,1172.5227272727273,1308.0212765957447,1625.2727272727273,319.0,779.2333333333333,670.9166666666666,978.9032258064516,1108.5365853658536,1445.0188679245282,2.0141008333333335
66,742.5652173913044,951.2432432432432,1411.892857142857,1157.5,1292.7659574468084,1675.7272727272727,322.1333333333333,798.3666666666667,658.1666666666666,944.2903225806451,1120.4878048780488,1485.9245283018868,2.045087
67,777.7608695652174,914.9459459459459,1436.107142857143,1162.409090909091,1274.1063829787233,1697.7727272727273,359.93333333333334,782.6666666666666,662.6111111111111,918.1290322580645,1131.0,1381.4150943396226,2.0760731666666667
68,735.8478260869565,854.5945945945946,1380.0535714285713,1089.9318181818182,1334.787234042553,1623.6136363636363,340.7,799.4666666666667,648.5,972.6129032258065,1109.0487804878048,1420.8867924528302,2.1070593333333334
69,770.9347826086956,889.4594594594595,1387.3035714285713,1059.340909090909,1308.212765957447,1637.1136363636363,316.03333333333336,840.9666666666667,630.4166666666666,1039.225806451613,1165.4146341463415,1435.9056603773586,2.1380455
70,730.4347826086956,946.6216216216217,1399.3214285714287,1175.4318181818182,1338.2978723404256,1718.659090909091,345.8666666666667,827.6,666.6111111111111,962.0967741935484,1157.2682926829268,1416.188679245283,2.1690316666666667
71,731.8913043478261,947.0,1454.8392857142858,1141.5454545454545,1325.8510638297873,1733.5681818181818,364.8333333333333,880.5666666666667,604.6111111111111,960.1935483870968,1148.7317073170732,1402.698113207547,2.2000178333333333
72,745.1521739130435,908.4324324324324,1372.1785714285713,1145.5227272727273,1309.9574468085107,1712.1136363636363,313.46666666666664,907.9,621.5555555555555,981.1935483870968,1198.0487804878048,1351.5471698113208,2.231004
73,748.5217391304348,900.2702702702703,1325.7142857142858,1179.7727272727273,1404.4255319148936,1653.9545454545455,339.6666666666667,850.7666666666667,643.7777777777778,911.0322580645161,1185.3902439024391,1368.8490566037735,2.2619901666666666
74,741.3913043478261,938.4864864864865,1409.0,1166.5681818181818,1362.2553191489362,1681.8863636363637,360.6,855.2333333333333,638.2222222222222,901.6129032258065,1186.5853658536585,1415.188679245283,2.2929763333333333
75,754.9782608695652,961.8108108108108,1432.0892857142858,1162.5227272727273,1299.9574468085107,1559.8863636363637,328.53333333333336,785.8333333333334,607.2777777777778,918.7741935483871,1148.7317073170732,1410.132075471698,2.3239625
76,705.195652173913,928.5135135135135,1360.9464285714287,1161.8636363636363,1343.1063829787233,1606.5681818181818,353.6,837.1666666666666,629.9444444444445,979.8064516129032,1173.9756097560976,1501.2264150943397,2.3549486666666666
77,735.8260869565217,884.8918918918919,1344.0892857142858,1162.0681818181818,1295.0212765957447,1660.2727272727273,323.3666666666667,804.1,654.3333333333334,879.9677419354839,1158.4634146341464,1435.0566037735848,2.3859348333333332
78,732.7826086956521,842.7837837837837,1369.3392857142858,1138.2272727272727,1331.7446808510638,1591.6363636363637,351.3,789.4666666666667,676.4722222222222,915.2903225806451,1153.1463414634147,1430.8301886792453,2.416921
79,786.1739130434783,945.2432432432432,1364.9464285714287,1115.25,1289.063829787234,1626.6818181818182,348.96666666666664,768.1,610.9166666666666,900.741935483871,1221.1707317073171,1401.0377358490566,2.4479071666666665
80,735.9782608695652,871.8378378378378,1420.4642857142858,1118.0,1301.127659574468,1624.0,332.2,780.7333333333333,604.6944444444445,947.3225806451613,1217.8292682926829,1358.377358490566,2.478893333333333
81,826.7608695652174,937.4864864864865,1401.625,1157.840909090909,1388.1489361702127,1586.7045454545455,360.06666666666666,837.0,649.2222222222222,906.741935483871,1166.878048780488,1424.188679245283,2.5098795
82,726.0652173913044,941.0,1355.4107142857142,1207.6363636363637,1350.1489361702127,1746.1363636363637,336.4,826.3,633.8611111111111,972.8387096774194,1134.8048780487804,1411.2264150943397,2.5408656666666665
83,763.0217391304348,901.2702702702703,1407.4285714285713,1121.1136363636363,1270.8085106382978,1655.340909090909,377.5,776.4666666666667,636.7777777777778,966.258064516129,1186.439024390244,1424.8301886792453,2.571851833333333
84,763.1086956521739,886.7027027027027,1332.857142857143,1162.5681818181818,1295.1914893617022,1637.409090909091,340.9,786.7333333333333,700.6388888888889,917.2903225806451,1216.5365853658536,1372.9245283018868,2.6028379999999998
85,720.304347826087,887.5135135135135,1367.0535714285713,1208.5,1269.212765957447,1644.0,352.5,799.5666666666667,635.3333333333334,899.9032258064516,1174.5853658536585,1432.3207547169811,2.6338241666666664
86,723.5,896.4594594594595,1450.142857142857,1133.590909090909,1341.8297872340424,1652.1363636363637,327.73333333333335,785.9666666666667,652.1666666666666,895.6129032258065,1095.5853658536585,1403.622641509434,2.664810333333333
87,732.1521739130435,932.7567567567568,1325.3035714285713,1098.7954545454545,1315.7659574468084,1585.9772727272727,364.06666666666666,838.2,619.5555555555555,915.9677419354839,1124.8292682926829,1390.2075471698113,2.6957964999999997
88,715.0434782608696,895.4594594594595,1345.2857142857142,1118.8636363636363,1291.1914893617022,1645.840909090909,331.96666666666664,768.1,603.6388888888889,978.9354838709677,1145.5853658536585,1368.9433962264152,2.7267826666666664
89,723.9130434782609,819.081081081081,1351.0357142857142,1119.340909090909,1347.2978723404256,1589.5227272727273,355.4,873.7,631.9722222222222,889.483870967742,1083.341463414634,1361.7358490566037,2.757768833333333
90,727.5,924.972972972973,1376.375,1096.3636363636363,1298.2978723404256,1588.0227272727273,343.4,749.9,613.5,929.4193548387096,1152.7317073170732,1365.5471698113208,2.788755
91,752.8913043478261,925.8378378378378,1338.107142857143,1102.7954545454545,1305.0212765957447,1625.2045454545455,342.9,806.1,610.8888888888889,940.7741935483871,1117.2439024390244,1323.9622641509434,2.8197411666666667
92,728.2826086956521,914.5945945945946,1338.625,1180.1818181818182,1334.595744680851,1689.0681818181818,319.26666666666665,826.3666666666667,653.8055555555555,968.9354838709677,1127.5365853658536,1375.4150943396226,2.8507273333333334
93,739.1739130434783,891.8918918918919,1341.3035714285713,1155.7954545454545,1342.2553191489362,1662.090909090909,333.56666666666666,841.8,659.7777777777778,844.0645161290323,1225.7317073170732,1331.3962264150944,2.8817135
