,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,time
127,1047.0263157894738,1295.1538461538462,1006.475,980.25,471.0,285.05263157894734,1270.3953488372092,1520.175,1238.2,3.9111555
128,1023.1842105263158,1226.0384615384614,956.75,1005.234375,444.3142857142857,295.719298245614,1265.093023255814,1549.3,1232.6,3.941952
129,1045.5263157894738,1147.923076923077,944.825,955.3125,444.9714285714286,309.29824561403507,1166.906976744186,1547.55,1227.0857142857142,3.9727485000000002
130,1079.7105263157894,1262.076923076923,994.575,1029.90625,425.54285714285714,320.1929824561403,1329.6046511627908,1568.9,1236.0,4.003545
131,1019.5263157894736,1274.7307692307693,965.9,923.375,427.0571428571429,297.4736842105263,1247.8372093023256,1516.275,1200.3142857142857,4.0343415
132,983.8421052631579,1233.3076923076924,949.1,999.953125,439.0571428571429,303.5438596491228,1298.3953488372092,1522.7,1216.6571428571428,4.065138
133,1120.0263157894738,1302.1538461538462,995.05,1016.453125,416.6857142857143,311.63157894736844,1191.6511627906978,1498.575,1255.2571428571428,4.0959345
134,1027.421052631579,1250.576923076923,955.925,989.6875,426.2857142857143,311.2280701754386,1360.2790697674418,1526.6,1183.7714285714285,4.126731
135,1035.2368421052631,1198.2692307692307,976.55,979.765625,420.6,305.280701754386,1276.7674418604652,1513.0,1190.6857142857143,4.1575275000000005
136,996.7105263157895,1196.3461538461538,982.7,965.609375,367.51428571428573,285.70175438596493,1287.860465116279,1493.775,1158.5714285714287,4.188324
137,1031.2368421052631,1213.8846153846155,961.4,974.046875,383.42857142857144,304.70175438596493,1363.6511627906978,1536.85,1254.7142857142858,4.2191205
138,1076.5526315789473,1256.0,940.4,987.0625,398.0285714285714,313.9298245614035,1264.3023255813953,1485.9,1246.4571428571428,4.249917
139,1087.6842105263158,1292.2307692307693,948.175,980.765625,361.7142857142857,315.2456140350877,1302.3953488372092,1564.125,1188.1714285714286,4.2807135
140,1086.2105263157894,1260.6153846153845,1015.925,959.6875,346.0571428571429,307.0701754385965,1340.0232558139535,1536.975,1187.8857142857144,4.31151
141,1073.7631578947369,1183.6153846153845,964.225,994.265625,330.45714285714286,306.2105263157895,1300.0232558139535,1611.525,1201.4857142857143,4.3423065
142,1074.842105263158,1239.0,921.3,1013.3125,373.4,312.1929824561403,1297.9302325581396,1573.6,1220.2571428571428,4.373103
143,1128.6315789473683,1271.8846153846155,916.65,949.453125,352.85714285714283,293.2631578947368,1293.3953488372092,1514.4,1170.3142857142857,4.4038995000000005
144,1027.6315789473683,1213.7307692307693,937.45,968.546875,305.51428571428573,305.6666666666667,1285.7674418604652,1523.025,1203.9714285714285,4.434696
145,1047.8684210526317,1269.0384615384614,957.875,979.96875,309.2,317.4736842105263,1223.8837209302326,1597.2,1214.9714285714285,4.4654925
146,1077.2105263157894,1344.2692307692307,890.125,977.796875,331.8857142857143,307.5263157894737,1317.2325581395348,1577.575,1214.3142857142857,4.496289
147,1031.2368421052631,1320.4615384615386,936.775,1003.203125,294.85714285714283,299.719298245614,1259.7906976744187,1557.275,1205.142857142857,4.5270855
148,1031.2631578947369,1269.923076923077,959.675,947.859375,319.8285714285714,315.3333333333333,1274.2093023255813,1589.85,1200.5714285714287,4.557882
149,1003.2894736842105,1255.6153846153845,952.925,995.890625,309.8285714285714,324.859649122807,1309.1860465116279,1549.775,1231.6,4.5886785
150,1024.657894736842,1203.923076923077,934.05,1015.21875,331.77142857142854,300.0,1249.906976744186,1620.025,1211.2571428571428,4.619475
151,1114.5,1267.8461538461538,996.2,1001.90625,312.2857142857143,301.9824561403509,1324.8837209302326,1527.8,1176.2857142857142,4.650271500000001
152,1069.3157894736842,1311.1153846153845,993.875,981.734375,306.4,320.89473684210526,1279.139534883721,1540.2,1207.057142857143,4.681068
153,1011.2368421052631,1255.7307692307693,920.175,1003.53125,315.7142857142857,292.8070175438597,1303.3488372093022,1473.075,1209.5714285714287,4.7118645
154,1065.4736842105262,1285.3461538461538,904.525,987.78125,284.57142857142856,313.94736842105266,1274.1860465116279,1584.575,1167.5714285714287,4.742661
155,1081.0526315789473,1255.3846153846155,935.7,1012.1875,294.37142857142857,313.9298245614035,1281.2558139534883,1472.325,1236.6571428571428,4.7734575
156,1005.2894736842105,1183.8076923076924,935.4,1026.625,311.48571428571427,297.35087719298247,1309.860465116279,1555.925,1192.8285714285714,4.804254
157,979.1315789473684,1246.2692307692307,957.85,924.25,285.62857142857143,310.49122807017545,1302.7209302325582,1497.925,1186.6,4.8350505
158,1019.421052631579,1329.8846153846155,947.225,962.421875,296.51428571428573,299.56140350877195,1320.1627906976744,1500.425,1331.4857142857143,4.8658470000000005
159,1062.078947368421,1209.1538461538462,926.4,971.25,282.0285714285714,288.4736842105263,1322.953488372093,1508.75,1235.4571428571428,4.896643500000001
160,1013.5263157894736,1186.423076923077,956.35,969.3125,274.57142857142856,293.94736842105266,1333.5581395348838,1465.7,1156.5714285714287,4.92744
161,1043.157894736842,1261.7307692307693,869.05,998.46875,297.62857142857143,283.42105263157896,1359.3953488372092,1494.325,1179.4857142857143,4.9582365
162,1020.8947368421053,1266.6153846153845,922.0,1013.03125,301.54285714285714,283.43859649122805,1316.8837209302326,1560.425,1239.0285714285715,4.989033
163,1004.5526315789474,1341.8461538461538,922.6,1017.796875,306.9428571428571,304.719298245614,1379.3255813953488,1465.725,1241.3714285714286,5.0198295
164,1053.2894736842106,1206.923076923077,875.25,986.453125,303.2857142857143,309.7719298245614,1277.7906976744187,1497.3,1201.8857142857144,5.050626
165,1094.6315789473683,1250.8846153846155,907.95,1003.78125,309.3142857142857,281.4561403508772,1297.1860465116279,1555.075,1153.942857142857,5.0814225
166,987.3947368421053,1268.1538461538462,989.325,1000.4375,327.57142857142856,314.0,1286.9302325581396,1459.275,1194.4,5.1122190000000005
167,1040.7105263157894,1168.423076923077,932.975,979.796875,346.14285714285717,294.70175438596493,1273.6976744186047,1529.95,1200.6857142857143,5.1430155
168,1037.3947368421052,1250.076923076923,973.65,1021.5,367.2,302.8421052631579,1296.093023255814,1503.45,1236.3142857142857,5.173812
169,1033.3947368421052,1187.423076923077,909.15,1027.8125,341.51428571428573,312.6666666666667,1308.2093023255813,1527.925,1172.3142857142857,5.2046085
170,986.8947368421053,1234.8461538461538,913.675,956.078125,340.2,323.36842105263156,1297.1860465116279,1512.3,1169.3714285714286,5.235405
171,1008.578947368421,1280.3076923076924,952.075,1011.359375,349.0857142857143,327.5263157894737,1236.6279069767443,1525.0,1250.7428571428572,5.2662015
172,949.6842105263158,1257.2692307692307,940.125,966.46875,374.3142857142857,312.96491228070175,1289.1627906976744,1464.625,1135.4285714285713,5.296998
173,1032.4473684210527,1266.7692307692307,920.325,961.328125,363.1714285714286,321.89473684210526,1255.0697674418604,1478.15,1180.5714285714287,5.3277945
174,993.2368421052631,1365.7307692307693,984.75,1005.21875,383.9714285714286,321.7543859649123,1193.2558139534883,1501.35,1167.7714285714285,5.3585910000000005
175,976.2894736842105,1269.8461538461538,1001.0,999.796875,391.57142857142856,268.3157894736842,1253.1627906976744,1393.25,1139.3428571428572,5.3893875
176,1042.2105263157894,1322.6538461538462,933.075,1013.390625,390.9428571428571,310.8070175438597,1276.8372093023256,1533.25,1168.4,5.420184
177,939.5,1238.076923076923,960.875,999.1875,371.54285714285714,292.0877192982456,1275.5116279069769,1466.075,1215.5428571428572,5.4509805
178,1004.1315789473684,1318.6153846153845,954.575,993.4375,377.2857142857143,304.6666666666667,1188.3255813953488,1459.9,1162.7714285714285,5.481777
179,959.7368421052631,1241.6153846153845,860.025,1027.0625,380.4,302.49122807017545,1233.2093023255813,1456.75,1241.6285714285714,5.5125735
180,1004.8157894736842,1203.3461538461538,969.15,978.953125,383.9428571428571,290.2456140350877,1176.046511627907,1397.425,1130.8857142857144,5.54337
181,1029.3157894736842,1246.3076923076924,904.975,953.6875,356.62857142857143,309.280701754386,1171.3720930232557,1496.075,1124.7142857142858,5.5741665000000005
182,978.2894736842105,1316.923076923077,913.625,975.890625,426.48571428571427,296.9298245614035,1178.5813953488373,1402.55,1122.2,5.604963000000001
183,988.921052631579,1227.8461538461538,941.6,979.953125,424.54285714285714,305.6666666666667,1180.1627906976744,1477.575,1152.8,5.6357595
184,968.3684210526316,1262.0384615384614,933.45,969.75,429.0285714285714,320.29824561403507,1204.6511627906978,1442.2,1183.2571428571428,5.666556
185,1033.7631578947369,1309.576923076923,948.775,941.96875,434.51428571428573,295.9824561403509,1204.046511627907,1393.025,1188.4,5.6973525
186,994.2631578947369,1173.5,915.475,943.046875,443.9428571428571,283.42105263157896,1142.3023255813953,1459.6,1176.7428571428572,5.728149
187,1006.8421052631579,1155.9615384615386,921.3,968.359375,429.2857142857143,289.280701754386,1190.2790697674418,1403.7,1139.2571428571428,5.7589455
188,948.8157894736842,1249.7307692307693,973.5,960.09375,453.2,291.9122807017544,1123.2325581395348,1360.85,1153.4571428571428,5.789742
