,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
77,264.02564102564105,329.87179487179486,1165.1020408163265,961.8780487804878,340.6,328.4761904761905,225.3,421.0243902439024,1505.5737704918033,871.5370370370371,1310.952380952381,766.6904761904761,210.25,207.9387755102041,2.3677243333333333
78,285.1025641025641,343.1025641025641,1144.3265306122448,905.7317073170732,350.51428571428573,341.85714285714283,244.35,436.3414634146341,1510.2295081967213,836.3703703703703,1262.920634920635,875.6428571428571,218.38636363636363,217.9387755102041,2.3984739999999998
79,277.46153846153845,296.97435897435895,1145.4489795918366,934.8780487804878,357.9714285714286,328.76190476190476,248.825,440.3658536585366,1491.1475409836066,847.1851851851852,1261.1587301587301,849.8095238095239,224.45454545454547,210.81632653061226,2.4292236666666667
80,263.28205128205127,320.20512820512823,1129.591836734694,982.6829268292682,340.48571428571427,307.85714285714283,227.375,404.3170731707317,1547.0983606557377,830.2777777777778,1286.5396825396826,928.047619047619,226.5,213.20408163265307,2.459973333333333
81,257.94871794871796,318.6666666666667,1115.061224489796,910.829268292683,340.54285714285714,322.14285714285717,246.75,428.4146341463415,1516.295081967213,805.4444444444445,1292.7619047619048,972.2142857142857,223.97727272727272,223.18367346938774,2.490723
82,249.35897435897436,316.2564102564103,1123.591836734694,919.9756097560976,318.0571428571429,311.8095238095238,258.575,399.5121951219512,1482.4754098360656,809.6666666666666,1281.079365079365,947.4761904761905,237.0,208.08163265306123,2.5214726666666665
83,267.53846153846155,326.15384615384613,1149.5510204081634,929.609756097561,356.4,295.23809523809524,258.1,401.8048780487805,1490.1147540983607,821.3333333333334,1271.6031746031747,997.0,228.86363636363637,222.6122448979592,2.5522223333333334
84,261.9230769230769,319.84615384615387,1130.3673469387754,1005.7073170731708,340.65714285714284,309.7142857142857,241.625,393.1951219512195,1422.688524590164,846.3518518518518,1220.095238095238,1070.0,225.3409090909091,221.3265306122449,2.582972
85,265.87179487179486,338.43589743589746,1107.7551020408164,965.390243902439,337.34285714285716,326.6666666666667,261.875,417.780487804878,1462.344262295082,808.1296296296297,1184.2857142857142,1074.6190476190477,261.09090909090907,221.53061224489795,2.6137216666666667
86,230.74358974358975,304.7692307692308,1118.4285714285713,947.5121951219512,344.77142857142854,335.1904761904762,246.125,393.390243902439,1503.672131147541,791.3148148148148,1178.142857142857,1148.9761904761904,285.0,207.69387755102042,2.644471333333333
