,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,nSyb_A4R,nSyb_A5R,nSyb_A6R,nSyb_A7R,time
109,1249.009090909091,1704.968992248062,1504.3385826771653,768.8529411764706,1785.428205128205,1760.9225512528474,1570.206106870229,1092.8058252427184,10.99594954819277
110,1188.1454545454546,1713.7984496124031,1543.0472440944882,805.6666666666666,1760.8051282051283,1761.3257403189066,1560.1094147582696,1091.3203883495146,11.096829819277108
111,1173.490909090909,1631.7984496124031,1561.8425196850394,854.7352941176471,1802.648717948718,1762.5763097949887,1535.0916030534352,1115.0906148867314,11.197710090361445
112,1188.7818181818182,1655.891472868217,1530.0,880.6764705882352,1787.5794871794872,1757.6924829157176,1567.3689567430026,1110.4239482200646,11.298590361445783
113,1159.1636363636364,1608.7519379844962,1567.3858267716535,916.2745098039215,1776.6538461538462,1766.378132118451,1552.5801526717557,1082.715210355987,11.39947063253012
114,1177.9727272727273,1588.5038759689924,1568.6692913385828,955.5980392156863,1792.1128205128205,1774.5330296127563,1536.58524173028,1090.31715210356,11.500350903614457
115,1143.9272727272728,1559.3643410852712,1536.3622047244094,940.0588235294117,1749.7205128205128,1786.2665148063782,1545.6106870229007,1094.5533980582525,11.601231174698794
116,1152.4363636363637,1612.9922480620155,1560.1181102362204,978.4117647058823,1785.9358974358975,1751.2733485193621,1539.6463104325699,1083.611650485437,11.702111445783133
117,1122.8818181818183,1577.4341085271317,1517.4566929133857,993.3627450980392,1749.6564102564103,1735.9612756264237,1535.969465648855,1073.0582524271845,11.80299171686747
118,1131.0,1539.922480620155,1570.740157480315,1006.0,1766.2102564102563,1745.510250569476,1536.9669211195928,1082.9644012944984,11.903871987951808
119,1137.0727272727272,1560.3488372093022,1550.8031496062993,993.3235294117648,1755.320512820513,1747.521640091116,1516.351145038168,1072.9546925566342,12.004752259036145
120,1122.1454545454546,1566.2325581395348,1560.4251968503936,1010.4215686274509,1764.9358974358975,1738.4510250569476,1511.9847328244275,1098.5113268608413,12.105632530120483
121,1172.081818181818,1547.3565891472867,1549.259842519685,1052.2058823529412,1771.8589743589744,1721.9271070615034,1536.671755725191,1054.3818770226537,12.20651280120482
122,1133.2454545454545,1516.6899224806202,1492.4094488188975,1041.7549019607843,1764.4358974358975,1718.5945330296126,1507.4351145038167,1072.6763754045307,12.307393072289157
123,1150.3454545454545,1569.6899224806202,1523.291338582677,1071.6960784313726,1759.5564102564103,1726.4738041002279,1516.4860050890586,1084.6504854368932,12.408273343373494
124,1108.5454545454545,1514.1782945736434,1508.6535433070867,1046.5098039215686,1763.5307692307692,1752.9384965831434,1494.8651399491093,1089.4660194174758,12.509153614457832
125,1091.5181818181818,1487.7596899224807,1472.6535433070867,1018.5686274509804,1733.6692307692308,1729.501138952164,1517.9770992366412,1077.1132686084143,12.610033885542169
126,1145.0545454545454,1495.9302325581396,1429.5511811023623,1011.2647058823529,1774.5846153846153,1743.8314350797266,1520.1068702290077,1065.1132686084143,12.710914156626506
127,1076.5454545454545,1439.5581395348838,1389.748031496063,1002.0,1770.9384615384615,1755.4328018223234,1523.730279898219,1064.9611650485438,12.811794427710844
128,1117.0,1485.8682170542636,1361.267716535433,984.3137254901961,1782.0692307692307,1728.9157175398634,1509.2366412213742,1067.3851132686084,12.91267469879518
129,1081.209090909091,1441.84496124031,1378.1417322834645,975.7352941176471,1771.6641025641027,1723.7835990888382,1513.6310432569974,1087.7637540453075,13.013554969879518
130,1100.8181818181818,1428.7519379844962,1376.4488188976377,952.6176470588235,1737.0153846153846,1739.1890660592255,1490.7684478371502,1069.7637540453075,13.114435240963855
131,1100.1090909090908,1426.9612403100775,1382.7007874015749,973.5882352941177,1733.8461538461538,1716.0250569476082,1514.9745547073792,1079.0582524271845,13.215315512048193
132,1086.490909090909,1392.2635658914728,1407.4645669291338,950.2352941176471,1739.4102564102564,1727.731207289294,1502.2391857506361,1059.0582524271845,13.31619578313253
133,1082.9818181818182,1378.062015503876,1391.3307086614172,946.5,1760.123076923077,1710.362186788155,1479.3689567430026,1063.9967637540453,13.417076054216867
134,1088.0,1428.7286821705427,1362.7007874015749,942.5980392156863,1755.1384615384616,1719.1845102505695,1510.9287531806615,1049.0517799352751,13.517956325301205
135,1069.5181818181818,1393.046511627907,1374.3149606299212,934.4705882352941,1743.0,1720.50569476082,1503.5648854961833,1061.8770226537217,13.618836596385542
136,1031.7818181818182,1358.2248062015503,1341.6377952755906,962.8823529411765,1752.6358974358975,1721.8109339407745,1499.8040712468194,1058.294498381877,13.719716867469879
137,1040.4,1386.2558139534883,1370.1338582677165,991.3137254901961,1738.4666666666667,1713.5239179954442,1510.562340966921,1059.0129449838187,13.820597138554216
138,1055.009090909091,1348.9922480620155,1326.3543307086613,963.2156862745098,1749.923076923077,1732.4646924829158,1496.2773536895675,1054.2621359223301,13.921477409638554
139,1040.9818181818182,1358.5813953488373,1362.4960629921259,934.7058823529412,1765.8923076923077,1722.141230068337,1497.9007633587787,1049.5922330097087,14.022357680722891
140,1073.6272727272728,1434.4341085271317,1372.0708661417323,926.4901960784314,1749.9538461538461,1728.7038724373576,1489.7099236641222,1077.8705501618124,14.123237951807228
141,1043.8727272727272,1379.7829457364342,1330.6141732283465,954.3627450980392,1752.0230769230768,1701.3029612756263,1515.1628498727734,1080.2556634304208,14.224118222891567
142,1060.2363636363636,1377.6899224806202,1363.259842519685,969.2450980392157,1742.0564102564103,1707.7198177676537,1482.557251908397,1076.1941747572816,14.324998493975905
143,1024.8090909090909,1380.7131782945737,1323.3543307086613,951.0196078431372,1745.9384615384615,1710.3006833712984,1496.58524173028,1059.3980582524273,14.425878765060242
144,1048.3272727272727,1384.7286821705427,1362.4094488188975,956.4411764705883,1758.6358974358975,1715.020501138952,1499.9974554707378,1072.411003236246,14.526759036144579
145,1022.0909090909091,1379.4728682170542,1331.5354330708662,906.3823529411765,1729.923076923077,1725.5261958997721,1499.2315521628498,1051.401294498382,14.627639307228916
146,1040.4818181818182,1408.5038759689924,1355.2047244094488,925.343137254902,1745.6717948717949,1687.49430523918,1506.2366412213742,1066.0485436893205,14.728519578313254
147,1024.0454545454545,1401.2635658914728,1349.023622047244,947.0882352941177,1744.4102564102564,1705.1389521640092,1491.145038167939,1045.9190938511326,14.829399849397591
148,1041.2727272727273,1452.8139534883721,1357.1653543307086,981.0098039215686,1748.9333333333334,1730.9521640091116,1511.788804071247,1045.673139158576,14.930280120481928
149,1013.2636363636364,1439.2868217054263,1351.259842519685,970.1274509803922,1725.320512820513,1710.3302961275626,1490.0050890585242,1085.611650485437,15.031160391566265
150,1047.3181818181818,1406.7906976744187,1356.4724409448818,967.4117647058823,1764.4384615384615,1724.8610478359908,1510.4834605597964,1064.9288025889969,15.132040662650603
151,1018.290909090909,1395.2945736434108,1358.992125984252,949.0392156862745,1729.1871794871795,1735.2938496583145,1493.788804071247,1061.8284789644013,15.23292093373494
152,1042.709090909091,1442.953488372093,1284.5984251968505,965.4019607843137,1760.2794871794872,1705.248291571754,1489.0916030534352,1058.967637540453,15.333801204819277
